"관광지명",관광지구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,지정일자,수용인원수,주차가능수,관광지소개,관리기관전화번호,관리기관명,데이터기준일자
"서울 한양도성(서울성곽)",관광지,,서울특별시 용산구 후암동 산1-2,37.551483,126.9853755887,1311.15,화장실+주차장,,,,,,1963-01-21,87,0,"조선왕조 도읍지인 한성부의 경계를 표시하고 그 권위를 드러내며, 외부의 침입을 막기 위해 축조된 성이다.",02-2133-2658,서울문화재청,2022-12-07
"후암동 조선은행 사택지",관광지,서울특별시 용산구 후암로16가길 7,서울특별시 용산구 후암동 247-57,37.547716,126.9786783004,2120.2,지하주차장,,,,,,1905-03-28,141,0,일제강점기인 1920년대 서울의 도시화와 함께 후암동 일대가 본격적으로 개발되는 가운데 생긴 대표적인 문화주택지였다.,02-759-4114,한국은행,2022-12-07
"서울 해병대사령부 초대교회",관광지,,서울특별시 용산구 용산동2가 2-18,37.5430344490,126.982882,262.5,화장실+주차장,,,,,,2017-02-15,20,10,"1951년 해병대 초대교회로 시작되었으며, 우리나라 군(軍)에 남아있는 교회 중에서 가장 오래된 교회이다.",1577-9090,국방부,2022-12-07
"일제 경성호국신사 계단(108계단)",관광지,서울특별시 용산구 신흥로22가길 33,서울특별시 용산구 용산동2가 1-346,37.546023,126.982542,237.2,승강기,,,,,,1905-04-26,20,0,"일제강점기 경성호국신사에 참배하기 위해 오르던 진입로로, 완공까지 한국인들의 재산과 노동력이 동원되었다. 일제 말기 식민지 한국이 처했던 비극의 역사를 선명하게 보여주는 장소이다.",02-2199-7240,서울특별시 용산구청 문화체육과,2022-12-07
"찬바람재",관광지,서울특별시 용산구 녹사평대로 195,서울특별시 용산구 용산동2가 7-99,37.534815,126.987014,646.6,승강기,,,,,,2000-12-15,50,0,예전부터 겨울철 찬바람이 매섭게 몰아친다 하여 찬바람재 또는 한풍재라고도 불리던 곳이다. 현재는 이 일대를 푸른 풀이 무성한 들판이라는 뜻의 녹사평이라고 부르고 있다.,02-2199-7240,서울특별시 용산구청 문화체육과,2022-12-07
"옛 남영동 대공분실(민주인권기념관)",관광지,서울특별시 용산구 한강대로71길 37,서울특별시 용산구 갈월동 98-8,37.5410116595,126.9716344944,6391,화장실,,,,,,2024-12-01,430,0,1970~80년대 민주주의를 억압하며 악명을 떨쳤던 남영동 대공분실은 1976년 지상5층 규모로 신축되어 치안본부 대공과 대공분실로 사용되었다. 2023년경 민주주의와 인권의 가치를 수호하는 민주인권기념관으로 정식 개관할 예정이다.,031-361-9576,민주화운동기념사업회,2022-12-07
"옛 용산공설시장(현 남영아케이드)",관광지,서울특별시 용산구 한강대로84길 7,서울특별시 용산구 남영동 28-8,37.543723,126.972924,1449,화장실,,,,,,1920-01-01,100,0,1922년 일제가 설치한 시장으로 지금은 남영아케이드로 불리고 있다.,02-2199-7240,서울특별시 용산구청 문화체육과,2022-12-07
"전쟁기념관",관광지,서울특별시 용산구 이태원로 29,서울특별시 용산구 용산동1가 8,37.5373140468,126.9784660632,112887.2,화장실+주차장+물품보관함+수유실,,,,,,1994-06-10,7500,150,"1994년 용산에 건립된 전쟁기념관은 외침을 극복하고 국민의 생명과 재산을 지켜온 대외항쟁사와 민족의 자주독립을 지켜온 국난극복사 등 전쟁에 관한 자료를 수집,보존하고, 전쟁의 교훈을 통해 전쟁을 예방하여 조국의 평화적 통일을 이룩하는데 이바지하기 위해 세워졌다.",02-709-3114,전쟁기념사업회,2022-12-07
"당고개 순교성지",관광지,서울특별시 용산구 청파로 139-26,서울특별시 용산구 신계동 56,37.5355901177,126.9669630492,1752,화장실,,,,,,1986-01-01,120,10,"이 일대는 조선후기에 처형장으로도 이용되었는데, 1839년 기해박해 당시 천주교 신자 10여명이 순교한 곳이다. 지금은 기해박해 당시 천주교 순교자들을 기리기 위해 당고개 순교성지가 들어서 있다.",02-711-0933,당고개 순교성지,2022-12-07
"옛 풍국제과 공장",관광지,서울특별시 용산구 백범로90다길 13,서울특별시 용산구 문배동 30-10,37.5356720739,126.9695134930,3086,화장실+주차장,,,,,,1930-01-01,200,70,풍국제과는 일제강점기 용산에 본사와 생산공장을 두었던 제과업체로 1934년 지금의 위치에 설립하였다. 해방 이후 풍국제과는 정부에 귀속되었다가 1956년 이양구가 인수해 동양제과공업 주식회사를 설립했다. 그 후 사업확장과 함께 2001년 제과업을 중심으로 하는 오리온 그룹이 동양그룹계열에서 분리되어 오늘날의 ㈜오리온이 되었다.,02-710-6000,오리온,2022-12-07
